Nama Restaurant,Rating,Price,Daerah,Tipe_1,Tipe_2,Tipe_3,Label
Nudles,3.7,125000,"Senayan City, Senayan, Jakarta",Asia,-,-,2
Restoran Pulau Dua,3.3,125000,"Senayan, Jakarta",Seafood,Chinese,-,2
Pesto Autentico,3.8,125000,"Senayan City, Senayan, Jakarta",Itali,Barat,-,2
Ootoya,3.3,125000,"Senayan City, Senayan, Jakarta",Jepang,Sushi,-,2
Gopek House,2.5,125000,"Senayan, Jakarta",Peranakan,Indonesia,-,2
Mottomoo,4.3,125000,"Pacific Place, SCBD, Jakarta",Jepang,-,-,2
Ippudo,4.5,125000,"Pacific Place, SCBD, Jakarta",Jepang,Ramen,-,2
Go! Curry,4,125000,"Pacific Place, SCBD, Jakarta",Thai,Jepang,India,2
Seia,4,125000,"Sudirman, Jakarta",Indonesia,-,-,2
Busaba A Thai Kafe,4,125000,"Pacific Place, SCBD, Jakarta",Thai,-,-,2
Hakata N Izakaya Gyo Gyo Gyo,3.9,125000,"Sudirman, Jakarta",Jepang,-,-,2
Noodle King,4,125000,"Blossoms Building, SCBD, Jakarta",Korea,-,-,2
Bunga Rempah,3.3,125000,"Bendungan Hilir, Jakarta",Indonesia,-,-,2
Marutama Ra-men,4.7,125000,"Sentral Senayan 1, Senayan, Jakarta",Ramen,Jepang,-,2
Bakerzin,4.2,125000,"Plaza Senayan, Senayan, Jakarta",Barat,Itali,Kue & Roti,2
The Pancake Co. By Dore,4.1,125000,"Plaza Senayan, Senayan, Jakarta",Jepang,-,-,2
Denny's,3.5,125000,"Senayan City, Senayan, Jakarta",Amerika,Kopi,-,2
Jittlada Restaurant,4.2,125000,"Senayan City, Senayan, Jakarta",Thai,-,-,2
Dapoer Podjok,2.6,125000,"Senayan City, Senayan, Jakarta",Jawa,Sunda,-,2
Ganesha Ek Sanskriti,4.5,125000,"Gedung BRI - Center Park, Bendungan Hilir, Jakarta",India Utara,India Selatan,India,2
Meatman Nikuo,4.2,125000,"Summitmas Tower, SCBD, Jakarta",Jepang,-,-,2
Burgreens,4.4,125000,"Pacific Place, SCBD, Jakarta",Makanan Sehat,Barat,Indonesia,2
Upstairs Rooftop Kafe,3.9,125000,"Bendungan Hilir, Jakarta",Indonesia,Barat,-,2
Tanamera Coffee Roastery,4.1,125000,"Pacific Place, SCBD, Jakarta",Kopi,Asia,Barat,2
Fedwell,4.2,125000,"Citywalk Sudirman, Sudirman, Jakarta",Makanan Sehat,-,-,2
Imperial Kitchen & Dimsum,3.9,125000,"Citywalk Sudirman, Sudirman, Jakarta",Dimsum,Chinese,-,2
Yesuljib Korea Kitchen and Bar,3.7,125000,"SCBD, Jakarta",Korea,-,-,2
Echigoya Ramen,3.8,125000,"Citywalk Sudirman, Sudirman, Jakarta",Ramen,Jepang,-,2
MOS Kafe,3.8,125000,"Summitmas Tower, SCBD, Jakarta",Burger,Jepang,-,2
Grains Of Glory,3.7,125000,"World Trade Center 5, Sudirman, Jakarta",Makanan Sehat,Kopi,Barat,2
HARRIS Kafe - Harris Suites fX Sudirman,3.6,125000,"fX Sudirman, Sudirman, Jakarta",Indonesia,Barat,-,2
Hatchi,4,125000,"Pondok Indah Plaza 2, Pondok indah, Jakarta",Asia,-,-,2
Rooftop at Bulungan,3.8,125000,"Blok M, Jakarta",Barat,Indonesia,-,2
LOF Kitchen and Plants,4.4,125000,"Fatmawati, Jakarta",Barat,Itali,Indonesia,2
Cyclo Coffee,3.7,125000,"Crumble Crew, Senopati, Jakarta",Kopi,Tea,Barat,2
Cazbar,3.7,125000,"Menara Anugrah, Kuningan, Jakarta",Barat,Asia,-,2
Star Dimsum,3.7,125000,"Mitra Terrace, Gatot Subroto, Jakarta",Chinese,-,-,2
Sky Garden Kafe,4.2,125000,"Setiabudi, Jakarta",Asia,Barat,-,2
Gerilya Coffee & Roastery,4.2,125000,"Fatmawati, Jakarta",Kopi,Barat,Itali,2
2madison Eatery,4.1,125000,"Kemang, Jakarta",Barat,Kafe,-,2
Andakar,4.1,125000,"Cilandak, Jakarta",Steak,Grill,-,2
The Kyfie Kitchen,2.9,125000,"Tebet, Jakarta",Itali,Pizza,-,2
Pondok Sedap Malam,2.5,125000,"Senopati, Jakarta",Seafood,-,-,2
Crematology Coffee Roasters,4.2,125000,"Senopati, Jakarta",Kopi,Itali,Barat,2
The Fifth,3.4,125000,"Kemang, Jakarta",Asia,Eropa,-,2
Kyuri,4.1,125000,"Senopati, Jakarta",Jepang,Makanan Sehat Food,Beverages,2
Kerang Kiloan Cipete,4,125000,"Fatmawati, Jakarta",Seafood,-,-,2
Sakura Tei,4.1,125000,"Gedung Kamome, Melawai, Jakarta",Jepang,Barbekyu,-,2
Social Corner Steakhouse,3.8,125000,"Bintaro, Jakarta",Steak,-,-,2
Bros Burgers & Beers,3.7,125000,"Kemang, Jakarta",Burger,-,-,2
Coco Ichibanya Curry,4.1,130000,"Plaza Senayan, Senayan, Jakarta",Jepang,-,-,2
Soeryo Kafe & Steak,4.4,135000,"Pasar Minggu, Jakarta",Itali,Asia,Steak,2
Gubug Makan Mang Engking,4.1,135000,"Universitas Indonesia, Beji, Jakarta",Seafood,Sunda,-,2
Lewis & Carroll Tea,4.2,140000,"Senayan City, Senayan, Jakarta",Kafe,Tea,Kopi,2
Pizza Marzano,4.3,140000,"Senayan City, Senayan, Jakarta",Pizza,Itali,-,2
monViet,4,140000,"fX Sudirman, Sudirman, Jakarta",Vietnam,-,-,2
Palmier,4.1,140000,"Plaza Senayan, Senayan, Jakarta",Jepang,Indonesia,-,2
I - ta Suki,2.2,140000,"Senayan City, Senayan, Jakarta",Jepang,-,-,2
Leaf Connoisseur by Tea Et Al,3.4,140000,"Pacific Place, SCBD, Jakarta",Barat,Kafe,-,2
Nishi Azabu Yukashi,3.2,140000,"Ratu Plaza, Sudirman, Jakarta",Jepang,-,-,2
Sushi Tei,4.4,140000,"Senayan City, Senayan, Jakarta",Jepang,-,-,2
Sate Khas Senayan,3.1,140000,"Senayan, Jakarta",Satay,Indonesia,-,2
Larazeta Restaurant & Gallery,4,140000,"Tebet, Jakarta",Arabian,Timur Tengah,-,2
Kafe Thirty Three by Mirasari,4.1,140000,"Kemang, Jakarta",Kopi,Itali,Barat,2
Remboelan,4.4,150000,"Plaza Senayan, Senayan, Jakarta",Indonesia,-,-,2
Kamadoya Nizaemon - Century Park Hotel,4.1,150000,"Century Park Hotel, Senayan, Jakarta",Jepang,-,-,2
Prohibition Chophouse & Speakeasy Bar,4.5,150000,"Plaza Senayan Arcadia, Senayan, Jakarta",Amerika,Asia,-,2
Zhuma,4.2,150000,"Senayan City, Senayan, Jakarta",Jepang,Sushi,Ramen,2
The Duck King,4.2,150000,"Senayan City, Senayan, Jakarta",Chinese,-,-,2
Han Gang,3.8,150000,"Senayan City, Senayan, Jakarta",Korea,-,-,2
Kafe Du Jour,3.2,150000,"The MAJ Senayan, Senayan, Jakarta",Perancis,Barat,-,2
Fogo,4.2,150000,"Intiland Tower, Sudirman, Jakarta",Barbekyu,Amerika Latin,-,2
Beer Garden,4.1,150000,"SCBD, Jakarta",Itali,Barat,-,2
Tontoki,4.5,150000,"Mid Plaza 1, Sudirman, Jakarta",Jepang,-,-,2
Mr. Park,4.2,150000,"SCBD, Jakarta",Korea,-,-,2
NAKA NAKAYA,4.7,150000,"STC Senayan, Senayan, Jakarta",Jepang,Sushi,-,2
Putu Made,4.3,150000,"Senayan City, Senayan, Jakarta",Bali,-,-,2
Hoshino Coffee,3.9,150000,"Senayan City, Senayan, Jakarta",Kafe,Kopi,-,2
The Terrace,3.5,150000,"Senayan National Golf Club, Senayan, Jakarta",Asia,Grill House,-,2
Kafe De Burse,4.1,150000,"Equity Tower, SCBD, Jakarta",Barat,Itali,-,2
Little Sheep Hot Pot Mongolian Restaurant,4.1,150000,"Gedung BRI - Center Park, Bendungan Hilir, Jakarta",Mongolia,Chinese,-,2
Kushimusubi Sachi,3.9,150000,"Citywalk Sudirman, Sudirman, Jakarta",Jepang,-,-,2
Sop Buntut Bogor,4.1,150000,"Pacific Place, SCBD, Jakarta",Jawa,Indonesia,-,2
Pand'or,4,150000,"Energy Building, SCBD, Jakarta",Jepang,Perancis,Itali,2
Yakiniku One,3.4,150000,"Fairgrounds, SCBD, Jakarta",Jepang,-,-,2
Bebek Tepi Sawah,3.5,150000,"Citywalk Sudirman, Sudirman, Jakarta",Bali,Indonesia,Seafood,2
Plan B,4.3,150000,"Rukan Permata Senayan, Senayan, Jakarta",Spanyol,-,-,2
Kushi-Yaki Umena-Dori,4.2,150000,"Sentral Senayan 1, Senayan, Jakarta",Jepang,-,-,2
Tesate,4.1,150000,"Plaza Senayan, Senayan, Jakarta",Satay,Indonesia,-,2
Kafe Betawi,2.2,150000,"Senayan City, Senayan, Jakarta",Betawi,Soto,-,2
Tom Tom,4.4,150000,"Pacific Place, SCBD, Jakarta",Thai,-,-,2
Thai Alley,4.1,150000,"Pacific Place, SCBD, Jakarta",Thai,-,-,2
Kinokawa,4,150000,"Fairgrounds, SCBD, Jakarta",Jepang,Sushi,-,2
Fook Yew,3.9,150000,"Pacific Place, SCBD, Jakarta",Chinese,Bubble Tea,Minuman,2
Dubu Jib,3.7,150000,"Citywalk Sudirman, Sudirman, Jakarta",Korea,-,-,2
Planta Kitchen,3.8,150000,"Sudirman, Jakarta",Indonesia,Mediterania,-,2
Peach Garden,2.8,150000,"MRCCC Siloam Hospital, Sudirman, Jakarta",Chinese,-,-,2
Sumibi Japanese Restaurant,4,150000,"Gandaria, Jakarta",Jepang,-,-,2
Lobbyn Sky Terrace - Liberta Hotel,3.7,150000,"Kemang, Jakarta",Indonesia,Itali,Barat,2
Cut The Crab,4.2,150000,"Senopati, Jakarta",Seafood,-,-,2
Stark Taproom,3.9,150000,"SCBD, Jakarta",Dimsum,-,-,2
Swiss Kafe - Swiss-Belhotel Pondok Indah,3.8,150000,"Swiss-Belhotel Pondok Indah, Pondok Indah, Jakarta",Jepang,Barat,-,2
Cortado Coffee Bar,3.6,150000,"Blok M, Jakarta",Kafe,Itali,Indonesia,2
Brew & Co,3.5,150000,"Cilandak Town Square, Fatmawati, Jakarta",Indonesia,Kopi,Itali,2
FJ Grill,3.7,150000,"Kemang Village, Kemang, Jakarta",Grill,Korea,Jepang,2
Rooftop Bar Kuretake - Hotel Kuretakeso,3.7,150000,"Kemang, Jakarta",Jepang,Beverages,-,2
Cutt & Grill,4.3,150000,"Tebet, Jakarta",Grill,Burger,Steak,2
Koi Kemang,4.3,150000,"Kemang, Jakarta",Asia,Grill,Itali,2
Soulfood,4.2,150000,"Senopati, Jakarta",Indonesia,Barat,-,2
Saigon Kafe,4.1,150000,"Gran Rubina Business Park, Kuningan, Jakarta",Vietnam,Makanan Sehat Food,-,2
Bambaiya Kafe,4.1,150000,"South Quarter, Lebak Bulus, Jakarta",India,-,-,2
Koh E-Noor,4,150000,"Plaza Festival, Kuningan, Jakarta",India Utara,India,-,2
Kafe One,3.6,150000,"Wyndham Casablanca Jakarta, Tebet, Jakarta",Asia,Barat,-,2
Savannah Bistro,3.9,150000,"Blok M, Jakarta",Kopi,Asia,Barat,2
Delico,2.9,150000,"Summitmas Tower, SCBD, Jakarta",Barat,Asia,Itali,2
Eastern Promise,4,150000,"Kemang, Jakarta",India Utara,India,Barat,2
Cerita Rasa Restaurant,3.8,150000,"Cilandak, Jakarta",Indonesia,-,-,2
Fish & Co.,4.3,165000,"Pacific Place, SCBD, Jakarta",Seafood,Mediterania,-,2
Haagen Dazs,4.1,165000,"Plaza Senayan, Senayan, Jakarta",Desserts,Ice Cream,-,2
Katsutoku,4.8,175000,"Sentral Senayan 1, Senayan, Jakarta",Jepang,-,-,2
Kokonut & Curtains,4.3,175000,"Senayan, Jakarta",Kafe,Barat,Indonesia,2
Yakiniku Esina Garden,4.2,175000,"Plaza Senayan, Senayan, Jakarta",Jepang,Korea,-,2
Devon Kafe,4.1,175000,"Senayan City, Senayan, Jakarta",Kafe,Kopi,Barat,2
Chandara,4.2,175000,"Plaza Senayan, Senayan, Jakarta",Thai,-,-,2
Roemah Rempah,4.1,175000,"Plaza Senayan, Senayan, Jakarta",Jawa,Indonesia,-,2
Hokkaido Izakaya,4.2,175000,"Pavilion Retail Arcade, Sudirman, Jakarta",Jepang,Sushi,-,2
PEPeNERO,4.3,175000,"Energy Building, SCBD, Jakarta",Itali,-,-,2
Caspar,4.1,175000,"Sudirman, Jakarta",Spanyol,Minuman,-,2
MUCCA Steak,4.2,175000,"Citywalk Sudirman, Sudirman, Jakarta",Steak,-,-,2
Lobby Lounge - Shangri-La Hotel,3.7,175000,"Shangri-La Hotel, Jakarta, Sudirman, Jakarta",Barat,Desserts,-,2
Acta Brasserie,4.1,175000,"The MAJ Senayan, Senayan, Jakarta",Barat,Asia,Grill House,2
Sushi Sei,4.5,175000,"Plaza Senayan, Senayan, Jakarta",Jepang,Sushi,-,2
Shu Guo Yin Xiang,3.7,175000,"Senayan City, Senayan, Jakarta",Chinese,-,-,2
Lagoon Lounge - The Sultan Hotel Jakarta,3.5,175000,"The Sultan Hotel Jakarta, Senayan, Jakarta",Barat,Indonesia,-,2
CHAMBER,3.9,175000,"Pacific Place, SCBD, Jakarta",Amerika,Asia,-,2
Liberica,3.9,175000,"Pacific Place, SCBD, Jakarta",Kopi,Amerika,Indonesia,2
Dimsum 48,3.1,175000,"SCBD, Jakarta",Dimsum,-,-,2
Kitchenette,4.1,175000,"Senayan City, Senayan, Jakarta",Itali,Asia,Barat,2
Seroeni,4.1,175000,"Plaza Senayan, Senayan, Jakarta",Malaysia,Chinese,-,2
Benedict,4.1,175000,"Pacific Place, SCBD, Jakarta",Barat,Kopi,Tea,2
Coca Suki Restaurant,4,175000,"Gedung BRI - Center Park, Bendungan Hilir, Jakarta",Jepang,Thai,-,2
Hanamasa,3.9,175000,"Plaza Semanggi, Sudirman, Jakarta",Jepang,-,-,2
La Boutique at BOCA - Le Meridien Hotel,3.9,175000,"Le Meridien Hotel, Sudirman, Jakarta",Kue & Roti,Desserts,-,2
Loewy,4.3,175000,"Oakwood, Kuningan, Jakarta",Barat,-,-,2
ST. ALi,4,175000,"Setiabudi One, Setiabudi, Jakarta",Kopi,Australian,-,2
The DEN of Kalaha,3.8,175000,"Somerset Grand Citra, Karet, Jakarta",Itali,Asia,-,2
The Harvest Deli,4,175000,"Kota Kasablanka, Tebet, Jakarta",Desserts,Roti,Barat,2
El Asador,4.2,175000,"Kemang, Jakarta",Amerika,Mexican,Spanish,2
Kenjiro,4.2,175000,"Senopati, Jakarta",Jepang,-,-,2
D'Bollywood - India Restaurant & Bar,4.2,175000,"Plaza Festival, Kuningan, Jakarta",India,India Utara,-,2
Beranda Kitchen,4.3,175000,"Gandaria, Jakarta",Barat,Indonesia,-,2
Veranda - The Grove Suites,2.5,175000,"The Grove Suites, Kuningan, Jakarta",Itali,Barat,Asia,2
Bebek Bengil,3.8,175000,"Epicentrum Walk, Kuningan, Jakarta",Indonesia,Bali,-,2
JJ Royal Brasserie,4,175000,"Lotte Shopping Avenue, Karet, Jakarta",Burger,Asia,-,2
Djournal House,4.1,175000,"Senopati, Jakarta",Kafe,Kopi,Itali,2
Sixty Resto & Bar - Goodrich Suites Jakarta,3.6,175000,"Fatmawati, Jakarta",Asia,Steak,Itali,2
Akar Restaurant And Bar,4,175000,"Senopati, Jakarta",Indonesia,-,-,2
Kafe Safari,3.4,175000,"Gandaria, Jakarta",Barat,-,-,2
Kaihomaru,4.1,180000,"Citywalk Sudirman, Sudirman, Jakarta",Sushi,Jepang,-,2
The Goods Kafe,3.9,190000,"Pacific Place, SCBD, Jakarta",Asia,Barat,-,2
Munchies Dine & Bar,3.7,190000,"Kota Kasablanka, Tebet, Jakarta",Eropa,Barat,-,2
Classified,3.2,190000,"Kemang Village, Kemang, Jakarta",Barat,Kafe,-,2
Monolog,4.3,200000,"Plaza Senayan, Senayan, Jakarta",Kopi,Barat,Asia,2
TWG Tea Salon & Boutique,4.5,200000,"Plaza Senayan, Senayan, Jakarta",Kafe,Desserts,Asia,2
de Luca,4.1,200000,"Plaza Senayan, Senayan, Jakarta",Itali,-,-,2
Pizza Kayu Api,3.3,200000,"The MAJ Senayan, Senayan, Jakarta",Pizza,Itali,-,2
LAVVA,3.8,200000,"Plaza Senayan, Senayan, Jakarta",Barat,Asia,-,2
Lagoon Kafe - The Sultan Hotel Jakarta,3.4,200000,"The Sultan Hotel Jakarta, Senayan, Jakarta",Barat,Asia,-,2
Sake+,3.5,200000,"Plaza Senayan Arcadia, Senayan, Jakarta",Jepang,-,-,2
Le Burger,4.3,200000,"Alila Hotel, SCBD, Jakarta",Burger,-,-,2
The Grill,4.3,200000,"Mid Plaza 2, Sudirman, Jakarta",Korea,Grill House,Barbekyu,2
Sushi Hiro,4.5,200000,"Senayan City, Senayan, Jakarta",Jepang,-,-,2
Pancious,4.3,200000,"Senayan City, Senayan, Jakarta",Barat,Desserts,Itali,2
Paradise Dynasty,4.5,200000,"Plaza Senayan, Senayan, Jakarta",Chinese,Dimsum,-,2
Holycow! Steak Hotel by Holycow!,3.1,200000,"Plaza Senayan Arcadia, Senayan, Jakarta",Chinese,-,-,2
Kembang Goela,4.4,200000,"Plaza Sentral, Sudirman, Jakarta",Betawi,Satay,Indonesia,2
Jia - Shangri-La Hotel,4.3,200000,"Shangri-La Hotel, Jakarta, Sudirman, Jakarta",Chinese,Dimsum,-,2
Kado - AYANA Midplaza JAKARTA,4.2,200000,"AYANA Midplaza Jakarta, Sudirman, Jakarta",Jepang,-,-,2
Holycow! Steak Hotel by Holycow!,3.6,200000,"Teras Benhil, Bendungan Hilir, Jakarta",Steak,-,-,2
Bengawan Solo Restaurant - Grand Sahid Jaya,3.1,200000,"Grand Sahid Jaya, Sudirman, Jakarta",Indonesia,-,-,2
American Grill,2.7,200000,"Plaza Semanggi, Sudirman, Jakarta",Steak,Grill House,Amerika,2
Bijin Nabe,4.4,200000,"Plaza Senayan, Senayan, Jakarta",Jepang,-,-,2
Pippo,4,200000,"Senayan City, Senayan, Jakarta",Itali,-,-,2
Social Garden,4.2,200000,"Senayan City, Senayan, Jakarta",Barat,-,-,2
Eric Kayser Artisan Boulanger,4.3,200000,"Plaza Senayan, Senayan, Jakarta",Barat,Kopi,Kue & Roti,2
Union Kafe,4.2,200000,"Senayan City, Senayan, Jakarta",Kafe,Amerika,Desserts,2
Angus House,4.2,200000,"Plaza Senayan, Senayan, Jakarta",Steak,Jepang,-,2
Katsura,3.9,200000,"Plaza Senayan, Senayan, Jakarta",Jepang,Sushi,-,2
Kafe Victoria,3.8,200000,"Plaza Senayan, Senayan, Jakarta",Barat,Asia,-,2
Nan Xiang - The Sultan Hotel Jakarta,3.8,200000,"The Sultan Hotel Jakarta, Senayan, Jakarta",Chinese,-,-,2
Odysseia,4,200000,"Pacific Place, SCBD, Jakarta",Desserts,Eropa,Indonesia,2
La Posta - Taste Of Argentina,4.5,200000,"Sudirman, Jakarta",Steak,Amerika Latin,Spanyol,2
Eight Treasures,4.2,200000,"Pacific Place, SCBD, Jakarta",Chinese,Makanan Sehat,Seafood,2
Bushido - Grand Sahid Jaya,3.9,200000,"Grand Sahid Jaya, Sudirman, Jakarta",Jepang,-,-,2
Robot & Co,3.2,200000,"Pacific Place, SCBD, Jakarta",Asia,Barat,-,2
NOUVELLE,3.6,200000,"Equity Tower, SCBD, Jakarta",Asia,Eropa,-,2
Patio Venue,4.1,200000,"Dharmawangsa, Jakarta",Asia,Pizza,-,2
Lokananta,3.8,200000,"Dharmawangsa, Jakarta",Steak,-,-,2
Backyard Kitchen & Grill,3.7,200000,"Cilandak, Jakarta",Barat,Kopi,-,2
Riva Grill Bar & Terrace,3.7,200000,"Wyndham Casablanca Jakarta, Tebet, Jakarta",Barat,Makanan Sehat Food,-,2
HARRIS Kafe - HARRIS Hotel Tebet,3.8,200000,"HARRIS Hotel, Tebet, Jakarta",Indonesia,Amerika,Eropa,2
Liquid Exchange,3.6,200000,"Epicentrum Walk, Kuningan, Jakarta",Amerika,Eropa,Indonesia,2
Roosevelt,4,200000,"Fatmawati, Jakarta",Barat,-,-,2
Seribu Rasa,4.2,200000,"Kemang Village, Kemang, Jakarta",Seafood,Jawa,Indonesia,2
Hard Rock Kafe,4.2,200000,"Pacific Place, SCBD, Jakarta",Amerika,Burger,-,2
TGI Fridays,4.3,200000,"Kemang Village, Kemang, Jakarta",Burger,Amerika,Itali,2
Meat Me Steak House & Butchery,4.1,200000,"Kemang Village, Kemang, Jakarta",Steak,-,-,2
Gandy Steak House,3.4,200000,"Epicentrum Walk, Kuningan, Jakarta",Steak,-,-,2
On Eleven - Ascott Kuningan Jakarta,3.6,200000,"Karet, Jakarta",Barat,Indonesia,-,2
Komunal88,4.3,215000,"Kemang, Jakarta",Itali,Kopi,Tea,2
Bottega Ristorante,4.2,225000,"Fairgrounds, SCBD, Jakarta",Itali,-,-,2
Kila Kila by Akasya,4.3,225000,"SCBD, Jakarta",Indonesia,-,-,2
The Goods Diner,4.1,225000,"Fairgrounds, SCBD, Jakarta",Burger,Eropa,-,2
Porta Venezia - Aryaduta Suites Semanggi,3.5,225000,"Sudirman, Jakarta",Indonesia,Barat,-,2
Bloeming Bar and Resto,3.1,225000,"fX Sudirman, Sudirman, Jakarta",Indonesia,Barat,Itali,2
Paul,4.1,225000,"Plaza Senayan, Senayan, Jakarta",Kafe,Kue & Roti,Desserts,2
Liberte,3.9,225000,"Pacific Place, SCBD, Jakarta",Itali,-,-,2
The Edge,3.8,225000,"Kemang, Jakarta",Asia,Grill,-,2
Lovester Shack,4.5,225000,"Pondok Indah, Jakarta",Seafood,-,-,2
McGettigan's,4,225000,"Menara BTPN, Kuningan, Jakarta",Barat,Asia,-,2
Smokey Ribs,3.2,225000,"Kemang Village, Kemang, Jakarta",Amerika,Itali,Eropa,2
William's,4.2,228000,"SCBD, Jakarta",Barat,Asia,-,2
Peacock Lounge - Fairmont Jakarta,4.1,250000,"Fairmont Jakarta, Senayan, Jakarta",Kafe,-,-,2
Tucano's Churrascaria - Brazilian Barbekyu & Buffet,3.9,250000,"Senayan City, Senayan, Jakarta",Steak,Grill House,Barbekyu,2
Furusato Izakaya,4.5,250000,"Sudirman, Jakarta",Jepang,-,-,2
Mare Nostrum,4.1,250000,"Grand Sahid Jaya, Sudirman, Jakarta",Mediterania,-,-,2
Osteria GIA,4.7,250000,"Pacific Place, SCBD, Jakarta",Itali,-,-,2
Wolfgang's Steakhouse,3.3,250000,"SCBD, Jakarta",Steak,-,-,2
Sumibian,4.2,250000,"Plaza Chase, Sudirman, Jakarta",Sushi,-,-,2
Outback Steakhouse,4.2,250000,"Ratu Plaza, Sudirman, Jakarta",Steak,Burger,Seafood,2
AW Kitchen by Akira Watanabe,4.4,250000,"Plaza Senayan, Senayan, Jakarta",Itali,Jepang,-,2
Bleu8 - Hotel Mulia,3.8,250000,"Hotel Mulia, Senayan, Jakarta",Barat,Asia,Meksiko,2
Sapori Deli - Fairmont Jakarta,4,250000,"Fairmont Jakarta, Senayan, Jakarta",Itali,-,-,2
The Chocolate Boutique & Cake Shops - Hotel Mulia,3.4,250000,"Hotel Mulia, Senayan, Jakarta",Kue & Roti,Desserts,-,2
Plataran Tiga Dari,3.8,250000,"Sudirman, Jakarta",Indonesia,Minuman,Desserts,2
LBRTY,3.6,250000,"SCBD, Jakarta",Barat,-,-,2
Plataran Dharmawangsa,4.6,250000,"Dharmawangsa Square, Dharmawangsa, Jakarta",Indonesia,-,-,2
Ivy Restaurant,3.9,250000,"Dharmawangsa, Jakarta",Itali,Barat,Indonesia,2
Alto Restaurant & Bar - Four Seasons,4.3,250000,"Four Seasons, Gatot Subroto, Jakarta",Itali,-,-,2
Nusa Indonesian Gastronomy,4.3,250000,"Kemang, Jakarta",Indonesia,-,-,2
QUEENS HEAD,4.1,250000,"Kemang, Jakarta",British,-,-,2
Palm Court - Four Seasons,4.1,250000,"Four Seasons, Gatot Subroto, Jakarta",Indonesia,-,-,2
Sperta - Grand Kemang Jakarta,3.9,250000,"Grand Kemang Hotel, Kemang, Jakarta",Barat,Indonesia,-,2
Harum Manis,4.4,275000,"Apartemen Pavilion, Sudirman, Jakarta",Indonesia,-,-,2
Huize van Wely,4,275000,"Pacific Place, SCBD, Jakarta",Indonesia,Jepang,Barat,2
The Pallas,4.2,275000,"Fairgrounds, SCBD, Jakarta",Barat,Asia,-,2
Gyu - Kaku Japanese Barbekyu,2.9,275000,"Senayan, Jakarta",Jepang,Barbekyu,-,2
Satoo - Shangri-La Hotel,4.4,275000,"Shangri-La Hotel, Jakarta, Sudirman, Jakarta",Indonesia,Barat,-,2
Cork & Screw Country Club,4.1,300000,"Senayan National Golf Club, Senayan, Jakarta",Eropa,Grill House,Asia,2
"Nippon - Kan, The Sultan Hotel Jakarta",3.9,300000,"The Sultan Hotel Jakarta, Senayan, Jakarta",Jepang,-,-,2
FUKURO Dining & Sake Bar,4.1,300000,"Fairgrounds, SCBD, Jakarta",Jepang,-,-,2
Ippachi,3.9,300000,"Wisma BNI 46, Sudirman, Jakarta",Jepang,Sushi,-,2
Shabu-Shabu Shaburi,4.1,300000,"Senayan City, Senayan, Jakarta",Jepang,-,-,2
Yakiniku Kintan Buffet,4.3,300000,"Senayan City, Senayan, Jakarta",Jepang,-,-,2
Volare,3.9,300000,"Cilandak Town Square, Fatmawati, Jakarta",Itali,Pizza,Steak,2
"Lobo Italian Bistro - The Ritz-Carlton Jakarta, Mega Kuningan",4,300000,"The Ritz-Carlton Jakarta, Mega Kuningan, Kuningan, Jakarta",Itali,-,-,2
ROMA Osteria & Bar,4,300000,"SCBD, Jakarta",Itali,-,-,2
TenJin,3.6,325000,"Wisma Keiai - Kyoei Prince, Sudirman, Jakarta",Jepang,Barbekyu,-,3
En Japanese Dining,4.3,325000,"Senayan City, Senayan, Jakarta",Sushi,Jepang,-,3
Nishimura - Shangri-La Hotel,3.5,325000,"Shangri-La Hotel, Jakarta, Sudirman, Jakarta",Jepang,Sushi,-,3
Motion Blue Jakarta - Fairmont Jakarta,3.5,335000,"Fairmont Jakarta, Senayan, Jakarta",Jepang,Perancis,Barat,3
Takumi Robata,4.1,350000,"The MAJ Senayan, Senayan, Jakarta",Jepang,Sushi,-,3
Orient8 - Hotel Mulia,4.5,350000,"Hotel Mulia, Senayan, Jakarta",Perancis,Vietnam,Thai,3
ZAZA's Boutique Bar & Eatery,3.1,350000,"SCBD, Jakarta",Barat,-,-,3
PASOLA - The Ritz-Carlton Pacific Place,4.7,350000,"The Ritz Carlton, SCBD, Jakarta",Indonesia,Barat,-,3
Rosso - Shangri-La Hotel,4.3,400000,"Shangri-La Hotel, Jakarta, Sudirman, Jakarta",Itali,-,-,3
Iseya Robatayaki,4.1,400000,"Sampoerna Strategic Square, Sudirman, Jakarta",Jepang,-,-,3
Table8 - Hotel Mulia,4.9,400000,"Hotel Mulia, Senayan, Jakarta",Chinese,Dimsum,-,3
Edogin - Hotel Mulia,4.8,400000,"Hotel Mulia, Senayan, Jakarta",Jepang,-,-,3
Vong Kitchen,4.3,400000,"Alila Hotel, SCBD, Jakarta",Barat,-,-,3
Bistecca,4.4,425000,"18 Parc SCBD, SCBD, Jakarta",Steak,Itali,-,3
Apron Grill,5,500000,"The MAJ Senayan, Senayan, Jakarta",Grill House,Fusion,Barat,3
il Mare - Hotel Mulia,4.1,500000,"Hotel Mulia, Senayan, Jakarta",Itali,-,-,3
Senshu Japanese Restaurant - Fairmont Jakarta,4.1,500000,"Fairmont Jakarta, Senayan, Jakarta",Jepang,-,-,3
1945 Restaurant - Fairmont Jakarta,4,500000,"Fairmont Jakarta, Senayan, Jakarta",Indonesia,-,-,3
