Nama Restaurant,Rating,Price,Daerah,Tipe_1,Tipe_2,Tipe_3,Label
Casa Kopi,3.9,40000,"Bendungan Hilir, Jakarta",Kopi,-,-,1
Mister Donut,3.1,40000,"fX Sudirman, Sudirman, Jakarta",Kue & Roti,Desserts,-,1
BLEUM Coffee,3.1,40000,"Pacific Place, SCBD, Jakarta",Kopi,Tea,-,1
Love & Eat,3.5,40000,"Bendungan Hilir, Jakarta",Barat,Asia,-,1
Foodhall Kitchen,3,40000,"Plaza Senayan, Senayan, Jakarta",Eropa,Jawa,Indonesia,1
Soto Kudus Senayan,3,40000,"Rukan Permata Senayan, Senayan, Jakarta",Jawa,Soto,Indonesia,1
Old Chang Kee,3.6,40000,"Senayan City, Senayan, Jakarta",Singapura,-,-,1
Swoosh Coffee,3.4,40000,"Plaza Senayan, Senayan, Jakarta",Kopi,Desserts,-,1
Kue Lily,2.9,40000,"Plaza Senayan, Senayan, Jakarta",Kue & Roti,-,-,1
Garuda Sports Café,4.5,40000,"Senayan, Jakarta",Kopi,-,-,1
Sate Taichan Bang Ipan,3.4,40000,"Senayan, Jakarta",Satay,-,-,1
Bopet Mini,4.4,40000,"Bendungan Hilir, Jakarta",Padang,-,-,1
Restoran Ayam Jerit by Titi Kamal,3.2,40000,"Teras Benhil, Bendungan Hilir, Jakarta",Indonesia,-,-,1
AEON Sushi Dash & Go,3.4,40000,"fX Sudirman, Sudirman, Jakarta",Jepang,Sushi,-,1
Obonk Steak & Ribs,2.8,40000,"Palmerah, Jakarta",Steak,Jawa,-,1
Ben & Bill,3.6,40000,"Menara Prima, Kuningan, Jakarta",Kafe,-,-,1
Ketupat Sayur Mandala,3.7,40000,"Mampang Prapatan, Jakarta",Indonesia,-,-,1
Kopi SANA Kith & Kin,4.5,40000,"Kemang, Jakarta",Kopi,-,-,1
Toraja Coffee House,4,40000,"Tebet, Jakarta",Kafe,Kopi,Tea,1
Nubi Coffee And Bites,3.9,40000,"Fatmawati, Jakarta",Kafe,Kopi,-,1
What's Up CafÃ©,4,40000,"Tebet, Jakarta",Makanan Jalanan,Desserts,Indonesia,1
First Scoop,3.8,40000,"Pelaspas Dharmawangsa, Dharmawangsa, Jakarta",Ice Cream,-,-,1
Monochrome Coffee Roastery,3.8,40000,"Kemang Village, Kemang, Jakarta",Kopi,Barat,-,1
Kopi Sakti,3.7,40000,"Kemang, Jakarta",Kopi,Desserts,-,1
Lenma Coffee,3.7,40000,"Tebet, Jakarta",Kopi,-,-,1
Brookland Coffee,3.1,40000,"Dharmawangsa, Jakarta",Kafe,Kopi,-,1
Sangkala Coffee,3.7,40000,"Kemang, Jakarta",Kopi,Beverages,-,1
Burger Plan,3.7,40000,"Senopati, Jakarta",Burger,-,-,1
Darling Habit,4.1,40000,"Tebet, Jakarta",Kafe,Barat,Kopi,1
Toko Kopi Tuku,4.7,40000,"Pasar Santa, Senopati, Jakarta",Kopi,Beverages,-,1
Warung Fotkop,3.9,40000,"Fatmawati, Jakarta",Kafe,Kopi,-,1
Over Limit Kafe,4.7,40000,"Kebayoran Lama, Jakarta",Kafe,-,-,1
Waroeng Steak And Shake,2.5,40000,"Tebet, Jakarta",Steak,-,-,1
Pizzza Dealer,3.7,40000,"Pelaspas Dharmawangsa, Dharmawangsa, Jakarta",Pizza,-,-,1
Moss Kafe,3.2,40000,"Moss Kafe, Lebak Bulus, Jakarta",Kafe,Itali,Barat,1
Warung Pindang Kikil,3.9,40000,"Cilandak, Jakarta",Indonesia,Jawa,-,1
Soto Dudu,4.2,40000,"Lebak Bulus, Jakarta",Soto,Indonesia,-,1
Aroma Daun Sefood,4.9,40000,"Pondok Indah, Jakarta",Seafood,-,-,1
Roti Bakar 88,3.8,40000,"Jagakarsa, Jakarta",Desserts,Makanan Jalanan,Indonesia,1
Pyro Coffee House and Roastery,3.9,40000,"Fatmawati, Jakarta",Kopi,Itali,-,1
Ngoepi,3.5,40000,"Fatmawati, Jakarta",Kafe,Kopi,-,1
Ayam Bakar Wong Solo,3.7,43000,"Tebet, Jakarta",Jawa,-,-,1
Bake-a-Boo,4,43000,"Senopati, Jakarta",Kopi,Tea,Roti,1
Shihlin,3.9,45000,"Pacific Place, SCBD, Jakarta",Makanan Jalanan,Taiwanese,-,1
Takoyaki Naruto,4,45000,"Melawai, Jakarta",Jepang,-,-,1
Mie Aceh Setiabudi,3.7,45000,"Setiabudi, Jakarta",Bakmi,Aceh,-,1
Pecel Lele Lela,3.8,45000,"Tebet, Jakarta",Jawa,-,-,1
Kebab Cuy!,2.6,45000,"Mampang Prapatan, Jakarta",Kebab,-,-,1
Waroeng Aceh Kemang,3.9,45000,"Kemang, Jakarta",Aceh,-,-,1
Tepi Kopi,3.9,45000,"Pondok Indah, Jakarta",Kafe,Kopi,Tea,1
Sour Sally,4,50000,"Senayan City, Senayan, Jakarta",Desserts,-,-,1
Singapore Hainanese Chicken Rice,3.2,50000,"Senayan City, Senayan, Jakarta",Singapura,-,-,1
Kedai Kenanga,3.4,50000,"Rukan Permata Senayan, Senayan, Jakarta",Chinese,-,-,1
Fins Recipe,3,50000,"Plaza Senayan, Senayan, Jakarta",Desserts,Indonesia,-,1
Nata Cakes & Cookies,3.5,50000,"Plaza Senayan, Senayan, Jakarta",Kue & Roti,Desserts,-,1
d’Cantel,4.6,50000,"Senayan, Jakarta",Indonesia,-,-,1
Atap Rumah,3.5,50000,"Bendungan Hilir, Jakarta",Indonesia,Itali,-,1
Harlan+Holden,4,50000,"Pacific Place, SCBD, Jakarta",Kopi,Desserts,-,1
"Ayam Bakar ""Kambal""",4.2,50000,"Palmerah, Jakarta",Jawa,-,-,1
Tomaple,3.5,50000,"Sudirman, Jakarta",Kue & Roti,Kopi,-,1
Coffee Cup by Chérie,3.6,50000,"Rukan Permata Senayan, Senayan, Jakarta",Indonesia,Kopi,Tea,1
McDonald's,3.7,50000,"STC Senayan, Senayan, Jakarta",Makanan Cepat Saji,-,-,1
Re.Juve,3.4,50000,"Plaza Senayan, Senayan, Jakarta",Minuman,Jus,-,1
Kuroiwa Kafe and Bar,3.2,50000,"STC Senayan, Senayan, Jakarta",Kopi,Kafe,Jepang,1
Kedai Mamaku,3.2,50000,"Rukan Permata Senayan, Senayan, Jakarta",Indonesia,-,-,1
Warung Korea Pop,4.1,50000,"Bendungan Hilir, Jakarta",Korea,-,-,1
Bebek BKB,4.3,50000,"Bendungan Hilir, Jakarta",Indonesia,-,-,1
Waroeng Western,3.4,50000,"Palmerah, Jakarta",Asia,-,-,1
Bebek Semangat,4,50000,"Plaza Semanggi, Sudirman, Jakarta",Jawa,Indonesia,-,1
Kambing Bakar Barakah,3.3,50000,"Palmerah, Jakarta",Timur Tengah,-,-,1
Bebek Goreng H. Slamet,3.4,50000,"Bendungan Hilir, Jakarta",Jawa,Indonesia,-,1
Bilik Kopi,2.8,50000,"Sahid Sudirman Center, Sudirman, Jakarta",Kafe,Kopi,Tea,1
Sugakiya,4.1,50000,"Plaza Senayan, Senayan, Jakarta",Ramen,-,-,1
Hokkaido Baked Cheese Tart,4.3,50000,"Senayan City, Senayan, Jakarta",Desserts,Jepang,-,1
Hunan Fish Noodle,4,50000,"Plaza Senayan, Senayan, Jakarta",Chinese,-,-,1
Yoshinoya,3.6,50000,"Plaza Senayan, Senayan, Jakarta",Jepang,Makanan Cepat Saji,-,1
P&C Coffee,2.5,50000,"Senayan City, Senayan, Jakarta",Kopi,-,-,1
Green Wok,3.3,50000,"Senayan City, Senayan, Jakarta",Indonesia,-,-,1
Kopi Politik,3.5,50000,"Senayan, Jakarta",Kafe,-,-,1
Blumchen Coffee,4.1,50000,"Fairgrounds, SCBD, Jakarta",Kafe,Kopi,Tea,1
Bu Eva Spesial Sambal,3.8,50000,"Bendungan Hilir, Jakarta",Indonesia,-,-,1
